SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
IONEXCHANG,8235,Construction,Construction,Industrials,0
HOMEFIRST,8233,Finance,Financial Services,Financial Services,0
KFINTECH,8222,Capital Markets,Financial Services,Financial Services,0
PRINCEPIPE,8215,Industrial Products,Capital Goods,Industrials,0
PGHL,8192,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
PTCIL,8145,Industrial Products,Capital Goods,Industrials,0
JUBLINGREA,8139,Chemicals & Petrochemicals,Chemicals,Commodities,0
KTKBANK,8107,Banks,Financial Services,Financial Services,0
RESPONIND,8106,Consumer Durables,Consumer Durables,Consumer Discretionary,0
GLS,8051,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
SPANDANA,8033,Finance,Financial Services,Financial Services,0
INDIACEM,8022,Cement & Cement Products,Construction Materials,Commodities,1
MANINFRA,8017,Construction,Construction,Industrials,0
LXCHEM,7998,Chemicals & Petrochemicals,Chemicals,Commodities,0
TMB,7995,Banks,Financial Services,Financial Services,0
INOXINDIA,7995,Industrial Products,Capital Goods,Industrials,0
ACI,7990,Chemicals & Petrochemicals,Chemicals,Commodities,0
ALLCARGO,7936,Transport Services,Services,Services,0
CHEMPLASTS,7905,Chemicals & Petrochemicals,Chemicals,Commodities,0
EMIL,7891,Retailing,Consumer Services,Consumer Discretionary,0
SANDUMA,7867,Consumable Fuels,Oil Gas & Consumable Fuels,Energy,0
MIDHANI,7847,Aerospace & Defense,Capital Goods,Industrials,0
QUESS,7736,Commercial Services & Supplies,Services,Services,0
MHRIL,7653,Leisure Services,Consumer Services,Consumer Discretionary,0
TEGA,7642,Industrial Manufacturing,Capital Goods,Industrials,0
SHOPERSTOP,7629,Retailing,Consumer Services,Consumer Discretionary,0
DOMS,7598,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
SCI,7576,Transport Services,Services,Services,0
TRIVENI,7541,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
GRAVITA,7532,Minerals & Mining,Metals & Mining,Commodities,0
GPPL,7382,Transport Infrastructure,Services,Services,0
EDELWEISS,7342,Finance,Financial Services,Financial Services,0
HEG,7333,Industrial Products,Capital Goods,Industrials,0
PDSL,7314,Textiles & Apparels,Textiles,Consumer Discretionary,0
MARKSANS,7312,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
RUSTOMJEE,7300,Realty,Realty,Consumer Discretionary,0
VESUVIUS,7286,Industrial Products,Capital Goods,Industrials,0
CSBBANK,7255,Banks,Financial Services,Financial Services,0
KNRCON,7247,Construction,Construction,Industrials,0
GMMPFAUDLR,7238,Industrial Manufacturing,Capital Goods,Industrials,0
IFCI,7232,Finance,Financial Services,Financial Services,0
STARCEMENT,7228,Cement & Cement Products,Construction Materials,Commodities,0
ISGEC,7217,Construction,Construction,Industrials,0
SAREGAMA,7153,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
EASEMYTRIP,7150,Leisure Services,Consumer Services,Consumer Discretionary,0
JLHL,7147,Healthcare Services,Healthcare,Healthcare,0
KIRLOSBROS,7108,Industrial Products,Capital Goods,Industrials,0
INDIGOPNTS,7100,Consumer Durables,Consumer Durables,Consumer Discretionary,0
LTFOODS,7035,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
RELIGARE,7003,Finance,Financial Services,Financial Services,0
VIJAYA,6896,Healthcare Services,Healthcare,Healthcare,0
JAICORPLTD,6890,Industrial Products,Capital Goods,Industrials,0
JKPAPER,6886,Paper Forest & Jute Products,Forest Materials,Commodities,0
UJJIVAN,6873,Finance,Financial Services,Financial Services,0
ROLEXRINGS,6847,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
GREENLAM,6832,Consumer Durables,Consumer Durables,Consumer Discretionary,0
GARFIBRES,6810,Textiles & Apparels,Textiles,Consumer Discretionary,0
MTARTECH,6810,Aerospace & Defense,Capital Goods,Industrials,0
ARVIND,6808,Textiles & Apparels,Textiles,Consumer Discretionary,0
JUSTDIAL,6807,Retailing,Consumer Services,Consumer Discretionary,0
NEULANDLAB,6784,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
POWERMECH,6782,Construction,Construction,Industrials,0
VRLLOG,6735,Transport Services,Services,Services,0
GOCOLORS,6724,Retailing,Consumer Services,Consumer Discretionary,0
ZENTEC,6656,Aerospace & Defense,Capital Goods,Industrials,0
NETWEB,6644,IT - Hardware,Information Technology,Information Technology,0
SIS,6642,Commercial Services & Supplies,Services,Services,0
ELECTCAST,6636,Industrial Products,Capital Goods,Industrials,0
BECTORFOOD,6586,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
VAIBHAVGBL,6578,Consumer Durables,Consumer Durables,Consumer Discretionary,0
TEXRAIL,6536,Industrial Manufacturing,Capital Goods,Industrials,0
SUNTECK,6533,Realty,Realty,Consumer Discretionary,0
REDTAPE,6523,Consumer Durables,Consumer Durables,Consumer Discretionary,0
IWEL,6459,Electrical Equipment,Capital Goods,Industrials,0
RSYSTEMS,6459,IT - Services,Information Technology,Information Technology,0
FDC,6447,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
SHRIPISTON,6427,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
THOMASCOOK,6409,Leisure Services,Consumer Services,Consumer Discretionary,0
EPL,6404,Industrial Products,Capital Goods,Industrials,0
HMT,6394,Industrial Manufacturing,Capital Goods,Industrials,0
BLUEJET,6384,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
TCI,6369,Transport Services,Services,Services,0
NAVA,6327,Power,Power,Utilities,0
HNDFDS,6323,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
MOIL,6305,Minerals & Mining,Metals & Mining,Commodities,0
NESCO,6215,Commercial Services & Supplies,Services,Services,0
PGEL,6168,Consumer Durables,Consumer Durables,Consumer Discretionary,0
SHAREINDIA,6122,Capital Markets,Financial Services,Financial Services,0
JINDWORLD,6116,Textiles & Apparels,Textiles,Consumer Discretionary,0
WOCKPHARMA,6096,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
INDIASHLTR,6082,Finance,Financial Services,Financial Services,0
ICIL,6058,Textiles & Apparels,Textiles,Consumer Discretionary,0
SYMPHONY,6052,Consumer Durables,Consumer Durables,Consumer Discretionary,0
CMSINFO,6026,Commercial Services & Supplies,Services,Services,0
TATACOFFEE,5994,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
INFIBEAM,5974,Financial Technology (Fintech),Financial Services,Financial Services,0
STAR,5973,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
GENUSPOWER,5965,Electrical Equipment,Capital Goods,Industrials,0
UTKARSHBNK,5933,Banks,Financial Services,Financial Services,0
KPIGREEN,5899,Power,Power,Utilities,0
NIITMTS,5887,Other Consumer Services,Consumer Services,Consumer Discretionary,0
FUSION,5817,Finance,Financial Services,Financial Services,0
TIIL,5775,Industrial Products,Capital Goods,Industrials,0
BORORENEW,5737,Industrial Products,Capital Goods,Industrials,0
AVANTIFEED,5736,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
ASTRAMICRO,5709,Aerospace & Defense,Capital Goods,Industrials,0
STLTECH,5700,Telecom - Services,Telecommunication,Telecommunication,0
ASKAUTOLTD,5699,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
JSWHL,5694,Finance,Financial Services,Financial Services,0
GUJALKALI,5688,Chemicals & Petrochemicals,Chemicals,Commodities,0
NAZARA,5671,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
GABRIEL,5665,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
SUPRAJIT,5627,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
DBL,5625,Construction,Construction,Industrials,0
PTC,5624,Power,Power,Utilities,0
GHCL,5611,Chemicals & Petrochemicals,Chemicals,Commodities,0
SOUTHBANK,5598,Banks,Financial Services,Financial Services,0
RBA,5558,Leisure Services,Consumer Services,Consumer Discretionary,0
PARADEEP,5528,Fertilizers & Agrochemicals,Chemicals,Commodities,0
HGINFRA,5520,Construction,Construction,Industrials,0
ICRA,5489,Capital Markets,Financial Services,Financial Services,0
RAMKY,5483,Construction,Construction,Industrials,0
KESORAMIND,5467,Cement & Cement Products,Construction Materials,Commodities,0
ARVINDFASN,5448,Retailing,Consumer Services,Consumer Discretionary,0
SANSERA,5440,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
AURIONPRO,5422,IT - Software,Information Technology,Information Technology,0
SENCO,5399,Consumer Durables,Consumer Durables,Consumer Discretionary,0
AGI,5370,Industrial Products,Capital Goods,Industrials,0
CYIENTDLM,5352,Industrial Manufacturing,Capital Goods,Industrials,0
TEAMLEASE,5329,Commercial Services & Supplies,Services,Services,0
HEIDELBERG,5303,Cement & Cement Products,Construction Materials,Commodities,0
TCIEXP,5289,Transport Services,Services,Services,0
DODLA,5259,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
GREENPANEL,5256,Consumer Durables,Consumer Durables,Consumer Discretionary,0
VSTIND,5256,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
AHLUCONT,5218,Construction,Construction,Industrials,0
GATEWAY,5186,Transport Services,Services,Services,0
RAIN,5175,Chemicals & Petrochemicals,Chemicals,Commodities,0
ORIENTCEM,5138,Cement & Cement Products,Construction Materials,Commodities,0
ETHOSLTD,5112,Consumer Durables,Consumer Durables,Consumer Discretionary,0
HCG,5070,Healthcare Services,Healthcare,Healthcare,0
GOKEX,5034,Textiles & Apparels,Textiles,Consumer Discretionary,0
FEDFINA,5009,Finance,Financial Services,Financial Services,0
PRUDENT,4969,Capital Markets,Financial Services,Financial Services,0
ITDCEM,4891,Construction,Construction,Industrials,0
BBOX,4889,IT - Services,Information Technology,Information Technology,0
JPASSOCIAT,4848,Construction,Construction,Industrials,0
RALLIS,4846,Fertilizers & Agrochemicals,Chemicals,Commodities,0
ORIENTELEC,4836,Consumer Durables,Consumer Durables,Consumer Discretionary,0
RTNPOWER,4833,Power,Power,Utilities,0
WSTCSTPAPR,4828,Paper Forest & Jute Products,Forest Materials,Commodities,0
DHANUKA,4824,Fertilizers & Agrochemicals,Chemicals,Commodities,0
DBCORP,4790,Media,Media Entertainment & Publication,Consumer Discretionary,0
WONDERLA,4786,Leisure Services,Consumer Services,Consumer Discretionary,0
MASFIN,4761,Finance,Financial Services,Financial Services,0
MSTCLTD,4738,Commercial Services & Supplies,Services,Services,0
KKCL,4733,Textiles & Apparels,Textiles,Consumer Discretionary,0
LLOYDSENGG,4733,Industrial Manufacturing,Capital Goods,Industrials,0
IBREALEST,4707,Realty,Realty,Consumer Discretionary,0
TINPLATE,4690,Industrial Products,Capital Goods,Industrials,0
PATELENG,4649,Construction,Construction,Industrials,0
TI,4636,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
PRICOLLTD,4635,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
HGS,4601,Commercial Services & Supplies,Services,Services,0
PRIVISCL,4598,Chemicals & Petrochemicals,Chemicals,Commodities,0
CHOICEIN,4578,Finance,Financial Services,Financial Services,0
MAXESTATES,4573,Realty,Realty,Consumer Discretionary,0
AARTIPHARM,4568,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
NOCIL,4565,Chemicals & Petrochemicals,Chemicals,Commodities,0
BANCOINDIA,4565,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
SHANTIGEAR,4565,Industrial Manufacturing,Capital Goods,Industrials,0
JAYNECOIND,4544,Industrial Products,Capital Goods,Industrials,0
WELENT,4500,Construction,Construction,Industrials,0
AARTIDRUGS,4496,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
NFL,4477,Fertilizers & Agrochemicals,Chemicals,Commodities,0
IIFLSEC,4455,Capital Markets,Financial Services,Financial Services,0
JAMNAAUTO,4449,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
JKIL,4426,Construction,Construction,Industrials,0
ROSSARI,4423,Chemicals & Petrochemicals,Chemicals,Commodities,0
PURVA,4411,Realty,Realty,Consumer Discretionary,0
TIPSINDLTD,4384,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
HEMIPROP,4349,Realty,Realty,Consumer Discretionary,0
HCC,4335,Construction,Construction,Industrials,0
GALLANTT,4319,Industrial Products,Capital Goods,Industrials,0
DATAMATICS,4283,IT - Services,Information Technology,Information Technology,0
MUTHOOTMF,4279,Finance,Financial Services,Financial Services,0
ORISSAMINE,4262,Minerals & Mining,Metals & Mining,Commodities,0
JISLJALEQS,4245,Industrial Products,Capital Goods,Industrials,0
KALAMANDIR,4219,Retailing,Consumer Services,Consumer Discretionary,0
SULA,4216,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
HMAAGRO,4209,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
ADVENZYMES,4200,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
IPL,4145,Fertilizers & Agrochemicals,Chemicals,Commodities,0
PAISALO,4138,Finance,Financial Services,Financial Services,0
AMIORG,4136,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
DCBBANK,4134,Banks,Financial Services,Financial Services,0
LAOPALA,4128,Consumer Durables,Consumer Durables,Consumer Discretionary,0
SINDHUTRAD,4125,Diversified,Diversified,Diversified,0
AZAD,4088,Electrical Equipment,Capital Goods,Industrials,0
THANGAMAYL,4088,Consumer Durables,Consumer Durables,Consumer Discretionary,0
SHARDACROP,4080,Fertilizers & Agrochemicals,Chemicals,Commodities,0
EPIGRAL,4076,Chemicals & Petrochemicals,Chemicals,Commodities,0
SSWL,4074,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
TDPOWERSYS,4065,Electrical Equipment,Capital Goods,Industrials,0
TARC,4013,Realty,Realty,Consumer Discretionary,0
JTLIND,4010,Industrial Products,Capital Goods,Industrials,0
FCL,4007,Chemicals & Petrochemicals,Chemicals,Commodities,0
VMART,4003,Retailing,Consumer Services,Consumer Discretionary,0
TIMETECHNO,4001,Industrial Products,Capital Goods,Industrials,0
RAJRATAN,3950,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
LGBBROSLTD,3943,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
NUCLEUS,3941,IT - Software,Information Technology,Information Technology,0
DELTACORP,3912,Leisure Services,Consumer Services,Consumer Discretionary,1
WABAG,3909,Other Utilities,Utilities,Utilities,0
LUXIND,3908,Textiles & Apparels,Textiles,Consumer Discretionary,0
BCG,3905,IT - Services,Information Technology,Information Technology,0
ASHOKA,3899,Construction,Construction,Industrials,0
KIRLPNU,3892,Industrial Products,Capital Goods,Industrials,0
SHARDAMOTR,3892,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
NEOGEN,3891,Chemicals & Petrochemicals,Chemicals,Commodities,0
KOLTEPATIL,3884,Realty,Realty,Consumer Discretionary,0
JTEKTINDIA,3881,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
ITDC,3872,Leisure Services,Consumer Services,Consumer Discretionary,0
BOROLTD,3861,Consumer Durables,Consumer Durables,Consumer Discretionary,0
ASHAPURMIN,3845,Minerals & Mining,Metals & Mining,Commodities,0
SUDARSCHEM,3807,Chemicals & Petrochemicals,Chemicals,Commodities,0
IFBIND,3780,Consumer Durables,Consumer Durables,Consumer Discretionary,0
SUNFLAG,3762,Ferrous Metals,Metals & Mining,Commodities,0
HATHWAY,3753,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
TATVA,3752,Chemicals & Petrochemicals,Chemicals,Commodities,0
HIKAL,3748,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
BALMLAWRIE,3738,Diversified,Diversified,Diversified,0
BHARATRAS,3736,Fertilizers & Agrochemicals,Chemicals,Commodities,0
FLAIR,3668,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
HINDWAREAP,3665,Consumer Durables,Consumer Durables,Consumer Discretionary,0
INDOCO,3634,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
AVALON,3631,Electrical Equipment,Capital Goods,Industrials,0
SAMHI,3610,Leisure Services,Consumer Services,Consumer Discretionary,0
ORCHPHARMA,3599,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
KDDL,3592,Consumer Durables,Consumer Durables,Consumer Discretionary,0
HARSHA,3583,Industrial Products,Capital Goods,Industrials,0
IDEAFORGE,3582,Aerospace & Defense,Capital Goods,Industrials,0
SANGHVIMOV,3571,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,0
BAJAJHIND,3551,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
SUBROS,3542,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
ESAFSFB,3537,Banks,Financial Services,Financial Services,0
EMUDHRA,3533,IT - Services,Information Technology,Information Technology,0
PILANIINVS,3531,Finance,Financial Services,Financial Services,0
HLEGLAS,3530,Industrial Manufacturing,Capital Goods,Industrials,0
GREAVESCOT,3526,Industrial Products,Capital Goods,Industrials,0
KIRLOSIND,3524,Industrial Products,Capital Goods,Industrials,0
GULFOILLUB,3506,Petroleum Products,Oil Gas & Consumable Fuels,Energy,0
UFLEX,3492,Industrial Products,Capital Goods,Industrials,0
GANESHHOUC,3469,Realty,Realty,Consumer Discretionary,0
TVSSRICHAK,3465,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
MAITHANALL,3464,Ferrous Metals,Metals & Mining,Commodities,0
NAVNETEDUL,3457,Printing & Publication,Media Entertainment & Publication,Consumer Discretionary,0
DYNAMATECH,3451,Industrial Manufacturing,Capital Goods,Industrials,0
LANDMARK,3437,Automobiles,Automobile and Auto Components,Consumer Discretionary,0
KSCL,3417,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
TASTYBITE,3413,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
SAKSOFT,3412,IT - Software,Information Technology,Information Technology,0
THYROCARE,3410,Healthcare Services,Healthcare,Healthcare,0
GMRP&UI,3386,Construction,Construction,Industrials,0
TATAMETALI,3382,Ferrous Metals,Metals & Mining,Commodities,0
CARTRADE,3362,Retailing,Consumer Services,Consumer Discretionary,0
DISHTV,3360,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
NILKAMAL,3358,Consumer Durables,Consumer Durables,Consumer Discretionary,0
DALMIASUG,3327,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
SAGCEM,3325,Cement & Cement Products,Construction Materials,Commodities,0
TRIL,3322,Electrical Equipment,Capital Goods,Industrials,0
DCXINDIA,3305,Aerospace & Defense,Capital Goods,Industrials,0
POLYPLEX,3291,Industrial Products,Capital Goods,Industrials,0
SHALBY,3282,Healthcare Services,Healthcare,Healthcare,0
SANGHIIND,3278,Cement & Cement Products,Construction Materials,Commodities,0
NRBBEARING,3276,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
VSTTILLERS,3264,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,0
SUNDARMHLD,3262,Finance,Financial Services,Financial Services,0
GRWRHITECH,3250,Industrial Products,Capital Goods,Industrials,0
YATHARTH,3244,Healthcare Services,Healthcare,Healthcare,0
AUTOAXLES,3236,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
BOMDYEING,3202,Textiles & Apparels,Textiles,Consumer Discretionary,0
BANARISUG,3198,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
APOLLO,3184,Aerospace & Defense,Capital Goods,Industrials,0
SBCL,3177,Industrial Products,Capital Goods,Industrials,0
PFOCUS,3175,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0
GUFICBIO,3170,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
BAJAJCON,3138,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
GENSOL,3138,Electrical Equipment,Capital Goods,Industrials,0
INNOVACAP,3104,,,,0
INOXGREEN,3076,Other Utilities,Utilities,Utilities,0
SUNCLAY,3059,,,,0
SOMANYCERA,3050,Consumer Durables,Consumer Durables,Consumer Discretionary,0
JCHAC,3033,Consumer Durables,Consumer Durables,Consumer Discretionary,0
MOLDTKPAC,3023,Industrial Products,Capital Goods,Industrials,0
DIVGIITTS,3009,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
PRAKASH,2991,Ferrous Metals,Metals & Mining,Commodities,0
SANDHAR,2967,Auto Components,Automobile and Auto Components,Consumer Discretionary,0
SWARAJENG,2931,Industrial Products,Capital Goods,Industrials,0
GREENPLY,2929,Consumer Durables,Consumer Durables,Consumer Discretionary,0
WENDT,2920,Industrial Products,Capital Goods,Industrials,0
STYLAMIND,2918,Consumer Durables,Consumer Durables,Consumer Discretionary,0
CIGNITITEC,2906,IT - Services,Information Technology,Information Technology,0
MPSLTD,2906,Other Consumer Services,Consumer Services,Consumer Discretionary,0
KINGFA,2882,Industrial Products,Capital Goods,Industrials,0
UNICHEMLAB,2879,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
DREAMFOLKS,2869,Transport Infrastructure,Services,Services,0
SEPC,2868,Construction,Construction,Industrials,0
IFGLEXPOR,2865,Industrial Products,Capital Goods,Industrials,0
MUKANDLTD,2862,Ferrous Metals,Metals & Mining,Commodities,0
SHILPAMED,2856,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0
